Team,City
Gwardia Wrocław,Wrocław
Resovia Rzeszów,Rzeszów
Warta Zawiercie,Zawiercie
AZS Częstochowa,Częstochowa
PGE Projekt Warszawa,Warszawa
Stal Nysa,Nysa
AZS Olsztyn,Olsztyn
Barkom-Każany Lwów,Lwów
BBTS Bielsko-Biała,Bielsko-Biała
BKS Visła Bydgoszcz,Bydgoszcz
Luk Lublin,Lublin
Skra Bełchatów,Bełchatów
Czarni Radom,Radom
Cuprum Lubin,Lubin
Stilon Gorzów,Gorzów Wielkopolski
Dafi Społem Kielce,Kielce
Stocznia Szczecin,Szczecin
Norwid Częstochowa,Częstochowa
GKS Katowice,Katowice
ZAKSA Kędzierzyn-Koźle,Kędzierzyn-Koźle
GTPS Gorzów Wielkopolski,Gorzów Wielkopolski
Jastrzębski Węgiel,Jastrzębiu-Zdroju
Jadar Radom,Radom
Płomień Sosnowiec,Sosnowiec
Trefl Gdańsk,Gdańsk
MKS Będzin,Będzin
Siatkarz Wieluń,Wieluń
Górnik Radlin,Radlin
Stolarka Wołomin,Wołomin
Ślepsk Malow Suwałki,Suwałki
Joker Piła,Piła
