season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2004-2005,Sławomir Gerymski,02.09.1968,AKS RESOVIA RZESZÓW,,186,87,310,,https://www.plusliga.pl/players/id/2187/tour/5.html
2004-2005,Tomasz Józefacki,05.05.1980,AKS RESOVIA RZESZÓW,,192,81,341,,https://www.plusliga.pl/players/id/2284/tour/5.html
2004-2005,Tomasz Kamuda,05.02.1976,AKS RESOVIA RZESZÓW,,197,85,315,,https://www.plusliga.pl/players/id/2287/tour/5.html
2004-2005,Tomasz Kozłowski,16.02.1979,AKS RESOVIA RZESZÓW,,192,91,312,,https://www.plusliga.pl/players/id/2292/tour/5.html
2004-2005,Mariusz Kuczko,23.01.1975,AKS RESOVIA RZESZÓW,,197,98,333,,https://www.plusliga.pl/players/id/1512/tour/5.html
2004-2005,Paweł Kupisz,01.04.1978,AKS RESOVIA RZESZÓW,,204,97,324,,https://www.plusliga.pl/players/id/1957/tour/5.html
2004-2005,Piotr Łuka,09.06.1980,AKS RESOVIA RZESZÓW,,0,0,0,,https://www.plusliga.pl/players/id/2009/tour/5.html
2004-2005,Wojciech Pawłowski,25.05.1982,AKS RESOVIA RZESZÓW,,202,93,318,,https://www.plusliga.pl/players/id/2418/tour/5.html
2004-2005,Łukasz Perłowski,03.04.1984,AKS RESOVIA RZESZÓW,,204,95,353,,https://www.plusliga.pl/players/id/1296/tour/5.html
2004-2005,Stanisław Pieczonka,04.08.1979,AKS RESOVIA RZESZÓW,,200,106,340,,https://www.plusliga.pl/players/id/2208/tour/5.html
2004-2005,Piotr Podpora,17.02.1978,AKS RESOVIA RZESZÓW,,190,85,305,,https://www.plusliga.pl/players/id/2016/tour/5.html
2004-2005,Sławomir Szczygieł,02.06.1978,AKS RESOVIA RZESZÓW,,202,101,340,,https://www.plusliga.pl/players/id/2194/tour/5.html
2004-2005,Siergiy Zhyvolozhniy,15.05.1976,AKS RESOVIA RZESZÓW,,198,88,320,,https://www.plusliga.pl/players/id/2176/tour/5.html
2004-2005,Jakub Bednaruk,09.09.1976,AZS POLITECHNIKA WARSZAWSKA,,188,95,320,,https://www.plusliga.pl/players/id/778/tour/5.html
2004-2005,Rankingi,,AZS POLITECHNIKA WARSZAWSKA,,,,,,https://www.plusliga.pl/players/id/1437/tour/5.html
2004-2005,Tomasz Drzyzga,09.10.1985,AZS POLITECHNIKA WARSZAWSKA,,188,85,335,,https://www.plusliga.pl/players/id/2280/tour/5.html
