season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2000-2001,Michał Bąkiewicz,22.03.1981,GALAXIA JURAJSKA AZS BANK CZĘSTOCHOWA,,197,93,339,,https://www.plusliga.pl/players/id/1661/tour/1.html
2000-2001,Damian Dacewicz,28.09.1974,GALAXIA JURAJSKA AZS BANK CZĘSTOCHOWA,,209,100,335,,https://www.plusliga.pl/players/id/403/tour/1.html
2000-2001,Arkadiusz Gołaś,10.05.1981,GALAXIA JURAJSKA AZS BANK CZĘSTOCHOWA,,201,83,338,,https://www.plusliga.pl/players/id/227/tour/1.html
2000-2001,Krzysztof Ignaczak,15.05.1978,GALAXIA JURAJSKA AZS BANK CZĘSTOCHOWA,,188,86,336,,https://www.plusliga.pl/players/id/1216/tour/1.html
2000-2001,Grzegorz Kokociński,18.09.1981,GALAXIA JURAJSKA AZS BANK CZĘSTOCHOWA,,196,90,340,,https://www.plusliga.pl/players/id/672/tour/1.html
2000-2001,Bojan Kostandinowic,17.02.1971,GALAXIA JURAJSKA AZS BANK CZĘSTOCHOWA,,195,92,315,,https://www.plusliga.pl/players/id/355/tour/1.html
2000-2001,Dawid Murek,24.07.1977,GALAXIA JURAJSKA AZS BANK CZĘSTOCHOWA,,195,100,337,,https://www.plusliga.pl/players/id/476/tour/1.html
2000-2001,Jakub Oczko,27.12.1981,GALAXIA JURAJSKA AZS BANK CZĘSTOCHOWA,,193,88,333,,https://www.plusliga.pl/players/id/822/tour/1.html
2000-2001,Sergiej Orlenko,08.02.1971,GALAXIA JURAJSKA AZS BANK CZĘSTOCHOWA,,200,87,335,,https://www.plusliga.pl/players/id/2166/tour/1.html
2000-2001,Radosław Panas,11.05.1970,GALAXIA JURAJSKA AZS BANK CZĘSTOCHOWA,,195,86,0,,https://www.plusliga.pl/players/id/2051/tour/1.html
2000-2001,Bartosz Szcześniewski,15.05.1977,GALAXIA JURAJSKA AZS BANK CZĘSTOCHOWA,,202,100,325,,https://www.plusliga.pl/players/id/327/tour/1.html
2000-2001,Andrzej Szewiński,20.02.1970,GALAXIA JURAJSKA AZS BANK CZĘSTOCHOWA,,198,97,319,,https://www.plusliga.pl/players/id/182/tour/1.html
2000-2001,Grzegorz Szymański,12.07.1978,GALAXIA JURAJSKA AZS BANK CZĘSTOCHOWA,,202,94,345,,https://www.plusliga.pl/players/id/686/tour/1.html
2000-2001,Łukasz Żygadło,02.08.1979,GALAXIA JURAJSKA AZS BANK CZĘSTOCHOWA,,201,90,360,,https://www.plusliga.pl/players/id/1313/tour/1.html
2000-2001,Maciej Dobrowolski,19.03.1977,INDYKPOL AZS OLSZTYN,,190,86,326,,https://www.plusliga.pl/players/id/1320/tour/1.html
2000-2001,Szymon Fiedorow,01.07.1973,INDYKPOL AZS OLSZTYN,,181,75,305,,https://www.plusliga.pl/players/id/2230/tour/1.html
2000-2001,Wojciech Grzyb,04.01.1981,INDYKPOL AZS OLSZTYN,,205,105,355,,https://www.plusliga.pl/players/id/2407/tour/1.html
2000-2001,Łukasz Kadziewicz,20.09.1980,INDYKPOL AZS OLSZTYN,,206,0,350,,https://www.plusliga.pl/players/id/1282/tour/1.html
2000-2001,Tomasz Kowalczyk,15.03.1976,INDYKPOL AZS OLSZTYN,,203,95,348,,https://www.plusliga.pl/players/id/2289/tour/1.html
2000-2001,Artur Pieśniak,13.11.1975,INDYKPOL AZS OLSZTYN,,193,86,304,,https://www.plusliga.pl/players/id/249/tour/1.html
2000-2001,Piotr Poskrobko,07.07.1973,INDYKPOL AZS OLSZTYN,,194,88,316,,https://www.plusliga.pl/players/id/2017/tour/1.html
2000-2001,Paweł Siezieniewski,27.12.1981,INDYKPOL AZS OLSZTYN,,199,93,345,,https://www.plusliga.pl/players/id/1967/tour/1.html
2000-2001,Paweł Szabelski,22.12.1981,INDYKPOL AZS OLSZTYN,,195,84,316,,https://www.plusliga.pl/players/id/1971/tour/1.html
2000-2001,Tomasz Szabelski,01.08.2019,INDYKPOL AZS OLSZTYN,,0,0,0,,https://www.plusliga.pl/players/id/2309/tour/1.html
2000-2001,Wojciech Szczurowski,14.04.1976,INDYKPOL AZS OLSZTYN,,194,94,335,,https://www.plusliga.pl/players/id/2423/tour/1.html
2000-2001,Krzysztof Śmigiel,06.05.1974,INDYKPOL AZS OLSZTYN,,197,94,324,,https://www.plusliga.pl/players/id/1234/tour/1.html
2000-2001,Leszek Urbanowicz,01.06.1964,INDYKPOL AZS OLSZTYN,,205,97,317,,https://www.plusliga.pl/players/id/1253/tour/1.html
2000-2001,Arkadiusz Wiśniewski,26.03.1964,INDYKPOL AZS OLSZTYN,,198,98,309,,https://www.plusliga.pl/players/id/234/tour/1.html
2000-2001,Leszek Dejewski,01.04.1962,JASTRZĘBIE BORYNIA,,195,96,320,,https://www.plusliga.pl/players/id/1252/tour/1.html
2000-2001,Adam Gniecki,19.07.1974,JASTRZĘBIE BORYNIA,,191,89,317,,https://www.plusliga.pl/players/id/4/tour/1.html
2000-2001,Krzysztof Janczak,12.11.1974,JASTRZĘBIE BORYNIA,,202,97,353,,https://www.plusliga.pl/players/id/1217/tour/1.html
2000-2001,Marcin Kieca,14.10.1979,JASTRZĘBIE BORYNIA,,197,82,320,,https://www.plusliga.pl/players/id/1449/tour/1.html
2000-2001,Łukasz Kruk,11.05.1978,JASTRZĘBIE BORYNIA,,188,90,335,,https://www.plusliga.pl/players/id/1287/tour/1.html
2000-2001,Przemysław Michalczyk,19.01.1973,JASTRZĘBIE BORYNIA,,189,85,338,,https://www.plusliga.pl/players/id/2037/tour/1.html
2000-2001,Robert Milbrant,22.02.1973,JASTRZĘBIE BORYNIA,,190,78,325,,https://www.plusliga.pl/players/id/2108/tour/1.html
